Country Name, Tons Exported, Ends in the Ocean, Ends in the beach
Albania,30122,11621,18501
Algeria,258511,100559,157952
Angola,53537,660,52877
Antigua and barbuda,403,231,172
Argentina,20790,15942,4847
Australia,4173,1252,2920
Bahrain,208,4,204
Bangladesh,452158,136404,315755
Barbados,576,274,302
Belgium,30,14,16
Belize,16210,827,15383
Benin,32542,244,32298
Bosnia and herzegovina,,,
Brazil,940540,300874,639665
British virgin islands,,,
Brunei,1293,495,797
Bulgaria,173,53,121
Cabo verde,2223,1248,975
Cambodia,3024,812,2212
Cameroon,67901,193,67709
Canada,639,218,421
Central african republic,,,
Chile,5351,3904,1447
China,3185508,501877,2683631
Colombia,52544,5038,47506
Comoros,40559,15869,24691
Costa rica,6233,1849,4384
Croatia,6492,2529,3964
Cuba,,,
Cyprus,179,56,123
Democratic republic of the congo,157,8,149
Denmark,168,43,125
Djibouti,3868,467,3401
Dominica,710,303,408
Dominican republic,126482,43360,83121
East timor,11306,5068,6238
Ecuador,30036,357,29678
Egypt,259857,51537,208321
El salvador,18895,11391,7504
Equatorial guinea,5396,68,5328
Eritrea,5919,242,5677
Estonia,145,20,125
Eswatini,,,
Ethiopia,,,
Falkland islands,,,
Faroe islands,,,
Federated states of micronesia,341,174,167
Fiji,3063,723,2340
Finland,437,40,397
France,1669,564,1105
French polynesia,,,
French southern and antarctic lands,,,
Gabon,2208,10,2199
Gambia,15163,2985,12178
Georgia,869,445,424
Germany,2319,420,1899
Ghana,109019,1112,107907
Greece,35777,9794,25983
Greenland,,,
Grenada,915,362,553
Guatemala,39948,20934,19015
Guernsey,,,
Guinea,25340,173,25167
Guinea-bissau,11453,634,10819
Guyana,17061,1826,15235
Haiti,136734,52496,84238
Honduras,28270,1411,26859
Hong kong s.a.r.,28414,4943,23471
Iceland,39,24,15
India,1521591,555144,966447
Indonesia,926209,327189,599020
Iran,11924,1174,10750
Ireland,643,135,508
Isle of man,,,
Israel,3210,843,2368
Italy,9450,3520,5930
Ivory coast,58403,1008,57394
Jamaica,32081,15821,16260
Japan,17906,14698,3208
Jersey,,,
Jordan,,,
Kenya,15164,7223,7941
Kiribati,37,21,16
Kuwait,14087,1346,12740
Laos,,,
Latvia,213,2,211
Lebanon,27562,8142,19420
Liberia,14351,131,14220
Libya,101786,28309,73477
Lithuania,77,5,72
Macao s.a.r,,,
Madagascar,3853,1721,2132
Malaysia,546318,213562,332756
Maldives,219,117,102
Malta,152,45,107
Mauritania,4079,1234,2845
Mauritius,155,102,53
Mexico,52215,21211,31004
Moldova,,,
Montenegro,2971,1167,1804
Morocco,93076,48989,44087
Mozambique,112741,40163,72578
Myanmar,325359,115864,209495
Namibia,512,125,387
Netherlands,9175,2687,6488
New caledonia,,,
New zealand,462,353,109
Nicaragua,38695,23496,15199
Nigeria,502546,5705,496841
North korea,19779,10906,8873
Norway,227,97,130
Oman,345,87,258
Pakistan,83808,30167,53641
Palau,77,36,41
Panama,22480,6134,16346
Papua new guinea,44006,7841,36165
Peru,46143,6280,39863
Philippines,2642449,947189,1695260
Poland,508,70,439
Portugal,1246,544,702
Puerto rico,646,359,287
Qatar,885,17,868
Republic of the congo,9511,35,9476
Romania,2702,877,1825
Russia,34534,13764,20770
Saint kitts and nevis,55,26,29
Saint lucia,2905,1315,1591
Saint vincent and the grenadines,799,333,466
Samoa,1232,424,809
Saudi arabia,4354,255,4099
Senegal,25726,6157,19569
Seychelles,47,24,23
Sierra leone,23901,75,23826
Singapore,,,
Solomon islands,39941,12002,27939
Somalia,3032,661,2371
South africa,136643,106291,30352
South korea,6421,3556,2865
Spain,9205,3498,5708
Sri lanka,75154,33506,41648
Sudan,11836,528,11308
Suriname,14028,2439,11589
Sweden,659,145,514
Syria,4108,1089,3019
São tomé and principe,1304,49,1255
Taiwan,134955,37537,97418
Thailand,425141,86455,338685
The bahamas,1267,1089,179
Togo,31773,0,31773
Tonga,434,188,246
Trinidad and tobago,47852,12608,35244
Tunisia,132766,43590,89176
Turkey,519066,164625,354441
Turks and caicos islands,,,
Ukraine,38736,12876,25859
United arab emirates,2734,74,2659
United kingdom,8491,2249,6242
United republic of tanzania,199536,84799,114737
United states of america,54233,37323,16910
Uruguay,161638,67094,94544
Vanuatu,1229,233,997
Vatican,,,
Venezuela,261310,30179,231132
Vietnam,656644,172188,484457
Yemen,39823,4198,35625